ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
V02419,SY0048231,Gas Turbine,GT24,C Inspection,EVP-503853,EV-112921,10312049,FSP-235217,C-10312049,,04-May-21,01-03-2021,09-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0dbcb400-84fb-4904-bcb4-0084fb490451.pdf
299140,SY0364921,Gas Turbine,7FA.04,Borescope Inspection (BI),EVP-509456,EV-121982,10351294,FSP-295687,A-1617124 | C-10351294,,,28-Jan-21,10-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/0ff5747b-dbc9-4e6a-b574-7bdbc9ae6a99.pdf
815416,SY0038056,Steam Turbine,DK-2I-163,Call-Out,,,NEX-P-283891 | SP-ES0-011968,,,,,,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/1466ee84-65c0-45b0-a6ee-8465c065b099.pdf
299405,SY0364962,Gas Turbine,7FA.05,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118325,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
299405,SY0364962,Gas Turbine,7FA.05,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118323,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
299405,SY0364962,Gas Turbine,7FA.05,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118324,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
761X046,SY0366342,Generator,7FH2B,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118325,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
761X046,SY0366342,Generator,7FH2B,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118323,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
761X046,SY0366342,Generator,7FH2B,Hot Gas Path Inspection (HGPI),EVP-505047,EV-118324,10335379,FSP-271707,A-1408002 | C-10335379,,,05-Sep-20,30-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/15ead4ee-1f4c-4cad-aad4-ee1f4c7cad71.pdf
298657,SY0114635,Gas Turbine,7FA.03,Hot Gas Path Inspection (HGPI),EVP-501559,EV-102971,10339198,FSP-270814,A-1359346 | C-10339198,,,02-Oct-20,15-10-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/178171ca-e751-4c34-8171-cae7514c3433.pdf
